#,Company,Email,Person,Title,Region,Notes
1,Softpulse Infotech,info@softpulseinfotech.com,HR / Hiring Team,Web Dev / App Dev,Jodhpur,Jodhpur-based web & mobile app development company; internship programs available
2,Technobrains Business Solution,hr@technobrains.io,HR Team,Web Dev / Digital Marketing,Jodhpur,Jodhpur IT firm; web development, SEO, and digital marketing services
3,Systechlogic IT Solutions,info@systechlogic.com,Recruitment Team,IT Services / ERP,Jodhpur,Jodhpur-based; ERP solutions and custom software development
4,Navyam Infotech,info@navyaminfotech.com,HR / Recruitment,Web Dev / App Dev,Jodhpur,Jodhpur; mobile app and web development; open to interns
5,SolutionInn,support@solutioninn.com,Hiring Team,EdTech / SaaS,Jodhpur,Jodhpur-based EdTech startup; tutoring and academic SaaS platform
6,Webroot Technologies,info@webroottech.in,HR Team,Web Dev / Digital Marketing,Jodhpur,Jodhpur IT company; web design, development, and SEO services
7,Teksun,hr@teksun.com,Talent Acquisition,Embedded / IoT / AI,Jodhpur,Jodhpur-headquartered; embedded systems, IoT, and AI product engineering
8,Orisys Infotech,info@orisysinfotech.com,Recruitment Team,IT Services / Web Dev,Jodhpur,Jodhpur; software services and web development; hires freshers
9,Infowind Technologies,info@infowindtech.com,HR Team,Web Dev / Mobile App,Jodhpur,Jodhpur-based; web & app development; internship programmes offered
10,Highfly Softwares,info@highflysoftwares.com,Hiring Team,Web Dev / Digital Marketing,Jodhpur,Jodhpur; website design, development, and digital marketing
11,Techindia Infoway,hr@techindiainfoways.com,HR Team,IT Services / BPO,Jodhpur,Jodhpur-based IT/ITES firm; software and BPO services
12,Desss Inc.,info@desss.com,Recruitment Team,Web Dev / App Dev,Jodhpur,Jodhpur branch; web and mobile development, open-source solutions
13,Exltech Solutions,info@exltech.in,HR / Hiring,IT Consulting / Web Dev,Jodhpur,Jodhpur IT company; software development and IT consulting
14,Kreativs Digital,hello@kreativsdigital.com,Hiring Team,Digital Marketing / Web Dev,Jodhpur,Jodhpur digital agency; web design and digital marketing; welcomes freshers
15,Vasundhara Infotech,hr@vasundharainfotech.com,HR Team,App Dev / Game Dev,Jodhpur,Jodhpur; mobile game & app development studio; regular intern intake
