#,Company,Email,Person,Title,Region,Notes
1,Netlink Software Group,hr@netlink.com,HR / Talent Acquisition,Cloud / IT Services / Enterprise Software,Bhopal,"Bhopal HQ; Enterprise software, cloud engineering & IT consultancy; regular campus intake"
2,SoftGrid Computers,hr@softgridcomputers.com,HR Team,Web Dev / App Dev / Custom Software,Bhopal,"Bhopal HQ; Custom software development, Web & mobile applications"
3,SEOValley Solutions International,info@seovalley.com,Talent Desk,Digital Marketing / SEO / Web Analytics,Bhopal,"Bhopal HQ; Global digital marketing, SEO & web optimization agency"
4,Cyber Infra Tech,info@cyberinfra.com,Recruitment Team,Mobile Apps / Cloud / Enterprise Tech,Bhopal,"Bhopal HQ; Mobile app engineering, cloud solutions & enterprise software"
5,CoreCard Software,careers@corecard.in,HR / Talent Acquisition,Fintech / Card Processing / SaaS,Bhopal,Bhopal Delivery Center; Financial tech solutions & card processing software
6,Walkover Web Solutions,contact@walkover.in,Hiring Team,SaaS / MSG91 / Cloud Infrastructure,Bhopal,Bhopal & Indore; SaaS product development & MSG91 cloud communications
7,Algoworks Bhopal,sales@algoworks.com,Talent Acquisition,Salesforce / DevOps / Mobile Apps,Bhopal,"Bhopal office; Salesforce consulting, mobile apps & DevOps engineering"
8,Systematix Infotech Bhopal,info@systematixinfotech.com,HR Team,Web Dev / Enterprise SaaS / Mobility,Bhopal,"Bhopal delivery hub; Enterprise mobility, Web Dev & cloud services"
9,Webgurus Bhopal,info@webgurus.in,HR Desk,Web Dev / eCommerce / CMS,Bhopal,"Bhopal; Web applications, custom CMS & e-commerce development"
10,Technomax Systems,info@technomaxsys.com,Hiring Manager,Enterprise IT / Web Dev / Network Engineering,Bhopal,"Bhopal; Enterprise IT services, software solutions & infrastructure"
11,Techbreeze Software Solutions,hr@techbreeze.in,HR Team,Web Dev / UI UX / Software Testing,Bhopal,"Bhopal; Custom web development, UI/UX design & software QA"
12,InfoCraft Technologies,contact@infocraft.in,Recruitment Desk,Custom Software / IT Consulting,Bhopal,Bhopal; Software engineering & IT consulting services
13,QuadOne Technologies,info@quadone.com,HR Team,Healthcare IT / Web & Mobile Apps,Bhopal,"Bhopal branch; Healthcare technology, web apps & mobile solutions"
14,MindGraph Technologies,careers@mindgraph.in,Talent Acquisition,AI ML / Cloud / Web Engineering,Bhopal,"Bhopal; Artificial Intelligence solutions, cloud & web engineering"
15,SmartData Enterprises Bhopal,careers@smartdata.net,HR / Recruitment,Healthcare IT / Web Apps / SaaS,Bhopal,Bhopal hub; Global software engineering firm specializing in healthcare SaaS
16,Yugasoft Technologies,info@yugasoft.com,HR Desk,Web Dev / Mobile Apps / Custom Software,Bhopal,"Bhopal; Web development, custom software & mobile app development"
17,Vertis System Solutions,info@vertissystem.com,Talent Desk,IT Staffing / Enterprise Software,Bhopal,Bhopal; Enterprise IT services & software consulting
18,TechIncite Systems,contact@techincite.in,HR Team,Mobile Apps / Cloud Services / Web Dev,Bhopal,Bhopal; Mobile app engineering & cloud services
19,Pinnacle Works Bhopal,contact@pinnacleworks.com,Recruitment Desk,Conversational AI / Chatbots / Web Dev,Bhopal,"Bhopal office; Conversational AI products, chatbot automation & Web Dev"
20,Datacode Software,info@datacode.in,HR Manager,Database Management / Custom Software,Bhopal,"Bhopal; Database systems, web development & enterprise software"
