#,Company,Email,Person,Title,Region,Notes
1,Ainosof Technology,info@ainosof.com,HR Team,Web Dev / App Dev / SEO,"Rewari, Haryana","Rewari-based; custom software & mobile app development, SEO, web design"
2,Techax Labs,info@techaxlabs.com,HR Team,Software Engineering / Cloud,"Rewari, Haryana","Rewari-based; digital product engineering, full stack engineering, cloud services"
3,Tidhan Software Developers,contact@tidhansoftware.com,HR / Hiring Team,Web Dev / Software Dev,"Rewari, Haryana",Rewari-based; digital solutions & software development services
4,Sherawat Infotech,support@sherawatinfotech.com,Support / Hiring,IT Services / Cloud,"Rewari, Haryana","Rewari-based; IT solutions, web development & business software"
5,Brainers Infotech,soniya.yadav@brainbeeua.com,HR Team,Web Dev / IT Services,"Rewari, Haryana","Rewari-based; web design, multimedia development, IT services"
6,AnITSolution,info@anitsolution.com,Hiring Team,Web Dev / Design,"Rewari, Haryana",Rewari-based; website design and development services
7,Sri Technologies,sritechnoworld@gmail.com,Hiring Team,IT Services / Networking,"Rewari, Haryana","Rewari-based; IT services, network infrastructure & support"
8,Digital Web Growth,support@digitalwebgrowth.in,HR Team,Web Dev / Digital Marketing,"Rewari, Haryana","Rewari-based; website design, SEO & digital growth services"
9,Data Infovision,hrd@datainfovision.com,HR / Careers Team,Web Dev / App Dev,"Rewari, Haryana","Rewari-based; web design, software development, and mobile app development"
10,Corefix Technologies,sales@corefixtechnologies.com,Hiring / Support,IT Solutions / Networking,"Rewari, Haryana","Rewari-based; IT solutions, CCTV surveillance, network solutions"
11,Livertigo Web Solution,info@livertigo.com,Hiring Team,Web Dev / App Dev / SEO,"Rewari, Haryana","Rewari-based; web development, android app development and SEO services"
12,Cybersify Technologies,dr.yatenderyadav@gmail.com,Hiring Team,IT Services / Portals,"Rewari, Haryana",Rewari-based; IT portal development & software maintenance
13,Syrma SGS Technology,compliance@syrmasgs.com,Corporate Compliance / HR,IoT / Electronics Manufacturing,"Rewari, Haryana","Bawal (near Rewari); large-scale electronics manufacturing, IoT, RFID solutions"
14,Ayodhya Webosoft,info@ayodhyawebosoft.com,HR Team,Web Dev / Design,"Rewari, Haryana",Rewari-based; website development and design services
15,Anush Technology,help@anushtech.com,HR Team,Web Dev / IT Services,"Rewari, Haryana",Rewari-based; custom software development and IT services
16,Whitecollar Infotech,admin@whitecollarinfotech.com,HR Team,Web Dev / Design,"Rewari, Haryana",Rewari-based; custom web design and application development
