Company,Email,Person,Title,Notes
Zoho Corporation,sales@zohocorp.com,HR / Recruitment Team,SaaS / Enterprise Software,"Chennai-headquartered SaaS giant; 50+ products; strong internship track record"
Freshworks Inc.,careers@freshworks.com,Talent Acquisition,SaaS / Customer Engagement Software,"Chennai & Bangalore; CRM, helpdesk, ITSM SaaS products; NASDAQ-listed"
Infosys Limited,freshers@infosys.com,Campus Recruitment Team,IT Services & Consulting,"Bangalore HQ; top campus recruiter; InfyTQ program for freshers"
Wipro Limited,careers.wipro2010@gmail.com,HR Team,IT Services & BPO,Bangalore HQ; WISTA program for engineering freshers
Tech Mahindra Limited,joinus@techmahindra.com,Talent Acquisition,IT Services & Digital Transformation,"Pune & Hyderabad; telecom IT, enterprise tech; regular campus drives"
HCL Technologies,careers.insys@hcl.in,Campus Recruitment,IT Services & Products,Noida HQ; HCL TechBee early career program for freshers
Mindtree Ltd. (LTIMindtree),careers@mindtree.com,Recruitment Team,IT Consulting & Digital Solutions,Bangalore; merged with LTI; strong in digital & cloud services
Mphasis Limited,freshers@mphasis.com,HR / Fresher Hiring,IT Services & BPO (BFSI Focus),Bangalore; specialises in banking and financial services tech
Hexaware Technologies,hexjobs@hexaware.com,Talent Acquisition,IT Services & Business Process Services,Mumbai / Chennai; automation-led services; active fresher intake
Sasken Technologies,careers@sasken.com,HR Team,Embedded & Communication Software,Bangalore; semiconductor & embedded systems engineering services
Quinnox Consultancy Services,freshers@quinnox.com,HR / Fresher Hiring,IT Consulting & Managed Services,"Mumbai & Bangalore; IBM partner; campus fresher drives"
Persistent Systems,careers@persistant.com,Recruitment Team,Software Product Engineering,Pune; product engineering & digital services; NASSCOM member
Sonata Software,careers@sonata-software.com,HR Team,IT Services & Platform-based Solutions,Bangalore; Microsoft partner; digital modernisation services
Cybage Software,freshers@cybage.com,Campus Hiring Team,Software Engineering Services,Pune; outsourced product development; strong campus hiring programme
Infotech Enterprises (CYIENT),enggcareers@infotechsw.com,Engineering Recruitment,Engineering & Technology Solutions,"Hyderabad; aerospace, transport, utilities engineering services"
GlobalEdge Software,bharathi@globaledgesoft.com,HR Team,Embedded & Semiconductor Software,Bangalore; ARM & Qualcomm ecosystem; embedded firmware development
Azilen Technologies,careers@azilen.com,Recruitment Team,Product Engineering & SaaS,Ahmedabad; SaaS & cloud-native product engineering; startup-friendly
Mithi Software Technologies,careers@mithi.com,HR Team,Email & Collaboration Software (SaaS),Pune; enterprise email & collaboration platform; Vaultastic data archival
MapmyIndia (CE Info Systems),careers@mapmyindia.com,Talent Acquisition,Mapping / GIS / Location Tech,Delhi/Noida; India's leading digital maps & GPS platform; NSE-listed
Tally Solutions Pvt. Ltd.,careers@tallysolution.com,HR Team,Business & Accounting Software (ERP),Bangalore; TallyPrime ERP; one of India's most-used SME software
