#,Company,Email,Person,Title,Region,Notes
1,Metacube Software,hr@metacube.com,HR / Talent Acquisition,Web Dev / Cloud / AI,Rajasthan,Jaipur HQ; IT product engineering & software services; active campus hiring
2,Cyntexa Labs,hr@cyntexa.com,HR Team,Salesforce / Cloud Solutions,Rajasthan,"Jaipur & USA; Salesforce consulting, cloud & Web Dev; regular intern intake"
3,Appcino Technologies,careers@appcino.com,Talent Acquisition,Low-Code / Appian / BPM,Rajasthan,Jaipur HQ; Appian low-code automation & enterprise IT; part of Xebia
4,Synoriq Technologies,careers@synoriq.in,HR / Hiring Team,Fintech / SaaS / AI,Rajasthan,Jaipur HQ; Fintech SaaS solutions & banking automation; welcomes freshers
5,Technoglobe Systems,info@technoglobe.co.in,Recruitment Desk,IT Services / Training,Rajasthan,Jaipur HQ; IT solutions & enterprise software training
6,Konstant Infosolutions,hr@konstantinfo.com,HR Team,Mobile App / Web Dev,Rajasthan,Jaipur HQ; Top-rated mobile & web development agency; internship friendly
7,A3logics,careers@a3logics.com,Talent Acquisition,Enterprise IT / Mobility / AI,Rajasthan,Jaipur HQ (Sitapura SEZ); Enterprise software engineering & IT consulting
8,Arka Softwares,info@arkasoftwares.com,HR / Sales Team,Web Dev / Mobile Apps,Rajasthan,"Jaipur HQ; Web, mobile app & custom software dev"
9,Emizentech,info@emizentech.com,Hiring Team,eCommerce / Web Dev,Rajasthan,"Jaipur HQ; Magento, Shopify & eCommerce web dev"
10,Fullestop,hr@fullestop.com,HR Desk,Web Dev / Digital Agency,Rajasthan,Jaipur HQ; Web development & digital solutions
11,Decipher Zone Softwares,hr@decipherzone.com,HR / Talent Acquisition,Java / Web Dev / Microservices,Rajasthan,"Jaipur HQ; Java, React, Microservices & Web Dev; hires freshers"
12,Systematix Infotech,hr@systematixindia.com,HR Team,Enterprise Software / Cloud,Rajasthan,Jaipur & Indore; Enterprise application dev
13,Logiciel Infotech,info@logicielinfotech.com,Corporate Office,Web Dev / Mobile Apps,Rajasthan,"Udaipur, Rajasthan; Web & mobile app development"
14,Techies India Inc,info@techiesindiainc.com,Hiring Team,Web Dev / eCommerce,Rajasthan,"Udaipur & Jaipur; Web dev, Magento & digital growth"
15,GirnarSoft (CarDekho),careers@girnarsoft.com,Talent Acquisition,Tech / Mobility / AI,Rajasthan,"Jaipur HQ; CarDekho parent, auto-tech & fintech platform"
16,DealShare Tech,careers@dealshare.in,Talent Acquisition,eCommerce / Supply Chain Tech,Rajasthan,Jaipur & Bangalore; Social e-commerce tech platform
17,CodeWorld Softwares,info@codeworldsoftwares.com,HR Team,Web Dev / Mobile Apps,Rajasthan,"Kota, Rajasthan; Web development & IT consultancy"
18,Oysteencorp Solutions,info@oysteencorp.com,Recruitment Desk,Web Dev / SaaS,Rajasthan,"Jaipur, Rajasthan; Software development & SaaS solutions"
19,Elixir Web Solutions,info@elixirinfo.com,HR Team,IT Staffing / Tech Services,Rajasthan,Jaipur & Delhi NCR; IT services & recruitment solutions
20,Devsiri Infotech,info@devsiri.com,HR Desk,Web Dev / Software Services,Rajasthan,"Jaipur, Rajasthan; Custom web & software engineering"
